RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited,Balance,EstimatedSalary
1,15634602,619,Minsk,Female,42,2,1,1,1,1,0.0,2252.1973333333335
2,15647311,608,Grodno,Female,41,1,1,0,1,0,4190.393,2500.9462222222223
3,15619304,502,Minsk,Female,42,8,3,1,0,1,7983.039999999999,2531.8126666666667
4,15701354,699,Minsk,Female,39,1,2,0,0,0,0.0,2085.0362222222225
5,15737888,850,Grodno,Female,43,2,1,1,1,0,6275.541,1757.4244444444446
6,15574012,645,Grodno,Male,44,8,2,1,0,1,5687.789,3327.9268888888887
7,15592531,822,Minsk,Male,50,7,2,1,1,0,0.0,223.61777777777777
8,15656148,376,Orsha,Female,29,4,4,1,0,1,5752.337,2652.152888888889
9,15792365,501,Minsk,Male,44,4,2,0,1,0,7102.5535,1665.3444444444444
10,15592389,684,Minsk,Male,27,2,1,1,1,0,6730.194,1593.905111111111
11,15767821,528,Minsk,Male,31,6,2,0,0,0,5100.836,1781.8026666666665
12,15737173,497,Grodno,Male,24,3,2,1,0,0,0.0,1697.5557777777776
13,15632264,476,Minsk,Female,34,10,2,1,0,0,0.0,583.5773333333333
14,15691483,549,Minsk,Female,25,5,2,0,0,0,0.0,4241.2842222222225
15,15600882,635,Grodno,Female,35,7,2,1,1,0,0.0,1465.592222222222
16,15643966,616,Orsha,Male,45,3,2,0,1,0,7156.4705,1429.4946666666667
17,15737452,653,Orsha,Male,58,1,1,1,0,1,6630.144,113.28155555555556
18,15788218,549,Grodno,Female,24,9,2,1,1,0,0.0,320.14244444444444
19,15661507,587,Grodno,Male,45,6,1,0,0,0,0.0,3526.329111111111
20,15568982,726,Minsk,Female,24,6,2,1,1,0,0.0,1216.0895555555555
21,15577657,732,Minsk,Male,41,8,2,1,1,0,0.0,3797.4704444444446
22,15597945,636,Grodno,Female,32,8,2,1,0,0,0.0,3079.010222222222
23,15699309,510,Grodno,Female,38,4,1,1,0,1,0.0,2642.5228888888887
24,15725737,669,Minsk,Male,46,3,2,0,1,0,0.0,188.61666666666667
25,15625047,846,Minsk,Female,38,5,1,1,1,0,0.0,4169.2480000000005
26,15738191,577,Minsk,Male,25,3,2,0,1,0,0.0,2766.8508888888887
27,15736816,756,Orsha,Male,36,2,1,1,1,0,6840.782000000001,3778.71
28,15700772,571,Minsk,Male,44,9,2,0,0,0,0.0,854.0744444444445
29,15728693,574,Orsha,Female,43,3,1,1,1,0,7067.4715,2226.387333333333
30,15656300,411,Minsk,Male,29,0,2,1,1,0,2984.8585,1188.5157777777777
31,15589475,591,Grodno,Female,39,3,3,1,0,1,0.0,3121.541777777778
32,15706552,533,Minsk,Male,36,7,1,0,1,0,4265.585,3482.9313333333334
33,15750181,553,Orsha,Male,41,9,2,0,0,0,5505.6269999999995,1819.9735555555555
34,15659428,520,Grodno,Female,42,6,2,1,1,0,0.0,764.678888888889
35,15732963,722,Grodno,Female,29,9,2,1,1,0,0.0,3156.290444444445
36,15794171,475,Minsk,Female,45,0,1,1,0,1,6713.202,618.2886666666667
37,15788448,490,Grodno,Male,31,3,1,0,1,0,7263.0115000000005,2534.817111111111
38,15729599,804,Grodno,Male,33,7,1,0,1,0,3827.4300000000003,2187.854444444444
39,15717426,850,Minsk,Male,36,7,1,1,1,0,0.0,906.9533333333334
40,15585768,582,Orsha,Male,41,6,2,0,1,0,3517.4739999999997,3957.200888888889
41,15619360,472,Grodno,Male,40,4,1,1,0,0,0.0,1558.9826666666668
